car_brands	horsepower	engine	airbags	turning_radius
Dodge	7.2	113	65	21
Ferrari	2.2	56	57	11.3
Fiat	6	115	66	18
Ford	9.7	109	52	16.3
Geely	15.4	249	66	22.2
Honda	2.1	83	51	7.8
Hyundai	11.3	300	67	27.8
Infiniti	4.4	149	85	16.3
Isuzu	12.1	255	74	35.1
Jaguar	2.7	72	66	14.9
Alfa Romeo	13.2	236	58	21.2
Aston Martin	10	263	48	44.5
Audi	8.1	294	80	31
Bentley	8.8	190	50	19.5
BMW	9	276	91	40.6
Cadillac	7.9	204	78	38.7
Chery	3.3	110	77	11.1
Chevrolet	5.9	238	72	15.8
Chrysler	15.4	335	80	31.9
Citroen	17.4	211	60	25.8
Dacia	5.3	46	83	20.2
Daewoo	2.6	120	54	14.2
Daihatsu	10.4	249	83	24
Jeep	16.1	259	44	17.1
Kia	9	178	70	28.2
Lada	6	109	53	16.4
Lamborghini	4.3	102	62	16.5
Lancia	12.2	252	81	46
Land Rover	2.1	57	56	9.5
Maserati	7.4	159	89	18.8
Mazda	11.4	285	70	32.1
Mercedes	11.1	254	86	26.1
Mini	13	337	45	16.1
Mitsubishi	0.8	45	44	7.3
Nissan	7.3	120	75	21.4
Opel	6.6	151	68	20
Peugeot	4.9	159	67	29.3
Porsche	6.3	106	72	14.9
Proton	3.4	174	87	8.3
Renault	14.4	279	48	22.5
Rover	3.8	86	45	12.8
Saab	13.2	188	59	26.9
Seat	12.7	201	80	25.5
Skoda	3.2	120	80	22.9
Volvo	2.2	48	32	11.2
Volkswagen	8.5	156	63	20.7
Subaru	4	145	73	26.2
Suzuki	5.7	81	39	9.3
Tata	2.6	53	66	10.8
Toyota	6.8	161	60	15.6
